Year,Player_Name,Matches_Played,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Half_Centuries,Fours,Sixes,Catches_Taken,Balls_Bowled,Runs_Conceded,Wickets_Taken,Bowling_Average,Four_Wicket_Hauls
2015,Faf du Plessis,17,2,380,55,29.23,304,125,1,37,5,8,0,0,0,0,0
2014,Faf du Plessis,15,1,303,54*,27.54,235,128.93,2,26,7,13,0,0,0,0,0
2012,Faf du Plessis,13,0,398,73,33.16,304,130.92,3,29,17,4,6,16,0,0,0
2024,Rajat Patidar,2,0,18,18,9,21,85.71,0,1,1,2,0,0,0,0,0
2022,Rajat Patidar,8,1,333,112*,55.5,218,152.75,2,27,18,4,0,0,0,0,0
2021,Rajat Patidar,4,0,71,31,17.75,62,114.51,0,3,3,1,0,0,0,0,0
2024,Virat Kohli,2,0,98,77,49,69,142.03,1,11,3,2,0,0,0,0,0
2023,Virat Kohli,14,2,639,101*,53.25,457,139.82,6,65,16,13,0,0,0,0,0
2022,Virat Kohli,16,1,341,73,22.73,294,115.99,2,32,8,9,0,0,0,0,0
2021,Virat Kohli,15,1,405,72*,28.92,339,119.46,3,43,9,8,0,0,0,0,0
2020,Virat Kohli,15,4,466,90*,42.36,384,121.35,3,23,11,3,0,0,0,0,0
2019,Virat Kohli,14,0,464,100,33.14,328,141.46,2,46,13,5,0,0,0,0,0
2018,Virat Kohli,14,3,530,92*,48.18,381,139.1,4,52,18,8,0,0,0,0,0
2017,Virat Kohli,10,0,308,64,30.8,252,122.22,4,23,11,6,0,0,0,0,0
2016,Virat Kohli,16,4,973,113,81.08,640,152.03,7,83,38,6,6,13,0,0,0
2015,Virat Kohli,16,5,505,82*,45.9,386,130.82,3,35,23,7,11,10,0,0,0
2014,Virat Kohli,14,1,359,73,27.61,294,122.1,2,23,16,7,0,0,0,0,0
2013,Virat Kohli,16,2,634,99,45.28,457,138.73,6,64,22,7,0,0,0,0,0
2012,Virat Kohli,16,2,364,73*,28,326,111.65,2,33,9,7,18,49,0,0,0
2011,Virat Kohli,16,4,557,71,46.41,460,121.08,4,55,16,7,102,139,2,69.5,0
2010,Virat Kohli,16,2,307,58,27.9,212,144.81,1,26,12,3,32,50,0,0,0
2009,Virat Kohli,16,2,246,50,22.36,219,112.32,1,22,8,9,36,46,0,0,0
2008,Virat Kohli,13,1,165,38,15,157,105.09,0,18,4,2,46,61,2,30.5,0
2024,Anuj Rawat,2,0,59,48,29.5,39,151.28,0,5,3,4,0,0,0,0,0
2023,Anuj Rawat,9,4,91,29*,30.33,71,128.17,0,6,4,3,0,0,0,0,0
2022,Anuj Rawat,8,0,129,66,16.13,118,109.32,1,10,7,6,0,0,0,0,0
2021,Anuj Rawat,2,0,0,0*,0,1,0,0,0,0,3,0,0,0,0,0
2024,Dinesh Karthik,2,2,66,38*,0,36,183.33,0,6,4,0,0,0,0,0,0
2023,Dinesh Karthik,13,1,140,30,11.67,104,134.62,0,13,5,8,0,0,0,0,0
2022,Dinesh Karthik,16,10,330,66*,55,180,183.33,1,27,22,10,0,0,0,0,0
2021,Dinesh Karthik,17,5,223,40,22.3,170,131.17,0,22,7,5,0,0,0,0,0
2020,Dinesh Karthik,14,2,169,58,14.08,134,126.11,1,20,4,9,0,0,0,0,0
2019,Dinesh Karthik,14,5,253,97*,31.62,173,146.24,2,22,14,7,0,0,0,0,0
2018,Dinesh Karthik,16,6,498,52,49.8,337,147.77,2,49,16,14,0,0,0,0,0
2017,Dinesh Karthik,14,3,361,65,36.1,259,139.38,2,30,11,8,0,0,0,0,0
2016,Dinesh Karthik,16,2,335,53,25.76,266,125.93,3,38,3,11,0,0,0,0,0
2015,Dinesh Karthik,16,0,141,28,12.81,117,120.51,0,15,4,14,0,0,0,0,0
2014,Dinesh Karthik,14,0,325,69,23.21,258,125.96,3,28,11,7,0,0,0,0,0
2013,Dinesh Karthik,19,1,510,86,28.33,411,124.08,2,54,14,12,0,0,0,0,0
2012,Dinesh Karthik,17,1,238,44,18.3,213,111.73,0,30,2,5,0,0,0,0,0
2011,Dinesh Karthik,14,2,282,69,25.63,220,128.18,1,32,7,7,0,0,0,0,0
2010,Dinesh Karthik,14,1,278,69,21.38,237,117.29,1,26,6,6,0,0,0,0,0
2009,Dinesh Karthik,15,5,288,52,36,217,132.72,1,20,9,12,0,0,0,0,0
2008,Dinesh Karthik,13,2,145,56*,24.16,107,135.51,1,13,4,6,0,0,0,0,0
2023,Suyash S Prabhudessai,5,0,35,19,8.75,29,120.69,0,1,2,5,0,0,0,0,0
2022,Suyash S Prabhudessai,5,0,67,34,13.4,59,113.56,0,7,2,5,0,0,0,0,0
No stats,Will Jacks,0,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
No stats,Saurav Chuahan,0,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2024,Glenn Maxwell,2,0,3,3,1.5,6,50,0,0,0,1,24,36,2,18,0
2023,Glenn Maxwell,14,2,400,77,33.33,218,183.49,5,29,31,4,62,94,3,31.33,0
2022,Glenn Maxwell,13,2,301,55,27.36,178,169.1,1,31,15,5,144,165,6,27.5,0
2021,Glenn Maxwell,15,2,513,78,42.75,356,144.1,6,48,21,5,96,135,3,45,0
2020,Glenn Maxwell,13,4,108,32,15.42,106,101.88,0,9,0,4,126,169,3,56.33,0
2018,Glenn Maxwell,12,0,169,47,14.08,120,140.83,0,14,9,4,96,132,5,26.4,0
2017,Glenn Maxwell,14,3,310,47,31,179,173.18,0,19,26,7,114,125,7,17.85,0
2016,Glenn Maxwell,11,2,179,68,19.88,124,144.35,2,14,8,3,54,80,0,0,0
2015,Glenn Maxwell,11,0,145,43,13.18,112,129.46,0,13,8,2,60,97,2,48.5,0
2014,Glenn Maxwell,16,0,552,95,34.5,294,187.75,4,48,36,9,66,132,1,132,0
2013,Glenn Maxwell,3,1,36,23,18,27,133.33,0,1,4,1,12,23,0,0,0
2012,Glenn Maxwell,2,1,6,3*,6,11,54.54,0,0,0,0,18,22,1,22,0
2024,Mahipal Lomror,1,1,17,17*,0,8,212.5,0,2,1,0,0,0,0,0,0
2023,Mahipal Lomror,12,2,135,54*,16.88,97,139.18,1,9,8,4,12,17,0,0,0
2022,Mahipal Lomror,7,0,86,42,17.2,57,150.88,0,7,4,2,12,18,0,0,0
2021,Mahipal Lomror,4,1,94,43,31.33,73,128.76,0,3,6,0,42,47,1,47,0
2020,Mahipal Lomror,3,0,59,47,19.66,54,109.25,0,2,3,0,0,0,0,0,0
2019,Mahipal Lomror,2,0,8,8,8,3,266.66,0,2,0,1,0,0,0,0,0
2018,Mahipal Lomror,2,1,20,11,20,21,95.23,0,1,0,0,18,27,0,0,0
2024,Karn Sharma,1,0,0,0,0,0,0,0,0,0,0,12,24,1,24,0
2023,Karn Sharma,7,0,3,2,1.5,5,60,0,0,0,0,129,223,10,22.3,0
2020,Karn Sharma,5,0,0,0,0,0,0,0,0,0,0,114,165,5,33,0
2019,Karn Sharma,1,0,0,0,0,0,0,0,0,0,0,17,33,1,33,0
2018,Karn Sharma,6,1,0,0,0,0,0,0,0,0,3,57,89,4,22.25,0
2017,Karn Sharma,9,0,49,19,8.16,41,119.51,0,5,2,3,184,214,13,16.46,1
2016,Karn Sharma,5,3,36,26*,0,30,120,0,3,1,0,98,171,0,0,0
2015,Karn Sharma,14,3,104,32,17.33,85,122.35,0,3,6,4,239,332,10,33.2,0
2014,Karn Sharma,14,4,42,17*,10.5,29,144.82,0,1,3,0,304,376,15,25.06,1
2013,Karn Sharma,13,3,85,39*,21.25,86,98.83,0,6,2,4,209,230,11,20.9,0
2009,Karn Sharma,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Cameron Green,2,0,21,18,10.5,27,77.78,0,1,0,1,30,46,2,23,0
2023,Cameron Green,16,7,452,100*,50.22,282,160.28,2,40,22,5,228,361,6,60.17,0
2023,Swapnil Singh,2,1,2,2*,0,4,50,0,0,0,0,12,18,0,0,0
2024,Mayank Dagar,2,0,0,0,0,0,0,0,0,0,0,30,40,0,0,0
2023,Mayank Dagar,3,0,0,0,0,0,0,0,0,0,0,66,83,1,83,0
No stats,Manoj Bhandage,0,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2023,Akash Deep,2,0,17,17,17,8,212.5,0,2,1,1,30,59,1,59,0
2022,Akash Deep,5,0,0,0,0,2,0,0,0,0,2,113,205,5,41,0
2024,Alzarri Joseph,2,0,0,0,0,0,0,0,0,0,0,46,81,1,81,0
2023,Alzarri Joseph,7,2,7,7*,0,12,58.33,0,1,0,2,144,225,7,32.14,0
2022,Alzarri Joseph,9,2,5,4*,5,7,71.43,0,0,0,1,180,264,7,37.71,0
2019,Alzarri Joseph,3,2,15,15*,0,13,115.38,0,2,0,1,52,87,6,14.5,0
2023,Lockie Ferguson,3,0,0,0,0,0,0,0,0,0,0,46,96,1,96,0
2022,Lockie Ferguson,13,1,5,5,2.5,4,125,0,1,0,2,286,427,12,35.58,1
2021,Lockie Ferguson,8,3,18,18*,0,11,163.63,0,1,1,3,180,224,13,17.23,0
2020,Lockie Ferguson,5,2,43,24*,0,29,148.27,0,4,1,0,119,148,6,24.66,0
2019,Lockie Ferguson,5,0,0,0,0,0,0,0,0,0,0,102,183,2,91.5,0
2017,Lockie Ferguson,4,1,1,1*,0,1,100,0,0,0,0,78,93,3,31,0
2024,Mohammed Siraj,2,0,0,0,0,0,0,0,0,0,0,48,64,2,32,0
2023,Mohammed Siraj,14,1,1,1*,1,2,50,0,0,0,4,300,376,19,19.79,1
2022,Mohammed Siraj,15,3,30,14*,15,33,90.91,0,5,0,6,306,514,9,57.11,0
2021,Mohammed Siraj,15,3,20,12*,20,26,76.92,0,1,1,4,312,353,11,32.09,0
2020,Mohammed Siraj,9,2,17,10*,17,14,121.42,0,2,0,4,163,236,11,21.45,0
2019,Mohammed Siraj,9,3,4,3*,4,14,28.57,0,0,0,2,169,269,7,38.42,0
2018,Mohammed Siraj,11,2,25,14,12.5,22,113.63,0,2,1,5,246,367,11,33.36,0
2017,Mohammed Siraj,6,0,0,0,0,0,0,0,0,0,1,138,212,10,21.2,1
2024,Yash Dayal,2,0,0,0,0,0,0,0,0,0,0,42,51,2,25.5,0
2023,Yash Dayal,5,0,0,0,0,0,0,0,0,0,1,84,165,2,82.5,0
2022,Yash Dayal,9,0,0,0,0,1,0,0,0,0,1,192,296,11,26.91,0
2021,Tom Curran,3,1,21,21,21,17,123.52,0,2,0,0,68,104,4,26,0
2020,Tom Curran,5,3,83,54*,83,62,133.87,1,5,3,1,109,208,3,69.33,0
2018,Tom Curran,5,1,23,18,7.66,28,82.14,0,3,0,1,61,118,6,19.66,0
2023,Reece Topley,1,0,0,0,0,0,0,0,0,0,0,12,14,1,14,0
2023,Himanshu Sharma,1,0,0,0,0,0,0,0,0,0,0,18,28,0,0,0
No stats,Rajan Kumar,0,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2023,Vyshak Vijay Kumar,7,1,13,13*,13,9,144.44,0,0,1,1,144,253,9,28.11,0
2024,Abdul Samad,1,0,15,15,15,11,136.36,0,1,1,0,0,0,0,0,0
2023,Abdul Samad,9,4,169,37*,42.25,128,132.03,0,10,11,4,0,0,0,0,0
2022,Abdul Samad,2,0,4,4,2,7,57.14,0,0,0,1,6,8,0,0,0
2021,Abdul Samad,11,1,111,28,12.33,87,127.58,0,4,8,8,6,9,1,9,0
2020,Abdul Samad,12,3,111,33,22.2,65,170.76,0,8,6,5,42,96,1,96,0
2024,Aiden Markram,1,0,18,18,18,13,138.46,0,2,0,1,0,0,0,0,0
2023,Aiden Markram,13,2,248,50,22.55,197,125.89,1,18,8,11,49,70,1,70,0
2022,Aiden Markram,14,4,381,68*,47.63,274,139.05,3,25,19,6,36,64,1,64,0
2021,Aiden Markram,6,1,146,42,29.2,119,122.68,0,12,4,3,24,23,0,0,0
2024,Rahul Tripathi,1,0,20,20,20,20,100,0,0,1,1,0,0,0,0,0
2023,Rahul Tripathi,13,1,273,74*,22.75,213,128.17,1,29,10,2,0,0,0,0,0
2022,Rahul Tripathi,14,3,413,76,37.55,261,158.24,3,40,20,6,0,0,0,0,0
2021,Rahul Tripathi,17,2,397,74*,28.35,283,140.28,2,41,11,8,0,0,0,0,0
2020,Rahul Tripathi,11,1,230,81,23,181,127.07,1,21,10,3,0,0,0,0,0
2019,Rahul Tripathi,8,1,141,50,23.5,118,119.49,1,13,2,3,0,0,0,0,0
2018,Rahul Tripathi,12,3,226,80*,25.11,167,135.32,1,18,8,4,0,0,0,0,0
2017,Rahul Tripathi,14,0,391,93,27.92,267,146.44,2,43,17,5,6,12,0,0,0
2023,Glenn Phillips,5,0,39,25,7.8,22,177.27,0,2,4,2,18,20,1,20,0
2021,Glenn Phillips,3,1,26,14*,13,33,78.78,0,1,2,1,12,20,1,20,0
2024,Mayank Agarwal,1,0,32,32,32,21,152.38,0,4,1,0,0,0,0,0,0
2023,Mayank Agarwal,10,0,270,83,27,210,128.57,1,29,6,6,0,0,0,0,0
2022,Mayank Agarwal,13,0,196,52,16.33,160,122.5,1,23,6,10,0,0,0,0,0
2021,Mayank Agarwal,12,1,441,99*,40.09,314,140.44,4,42,18,5,0,0,0,0,0
2020,Mayank Agarwal,11,0,424,106,38.54,271,156.45,2,44,15,6,0,0,0,0,0
2019,Mayank Agarwal,13,0,332,58,25.53,234,141.88,2,26,14,7,0,0,0,0,0
2018,Mayank Agarwal,11,1,120,30,12,94,127.65,0,9,5,2,0,0,0,0,0
2017,Mayank Agarwal,3,0,26,20,8.66,27,96.29,0,3,0,1,0,0,0,0,0
2016,Mayank Agarwal,3,0,27,10,9,25,108,0,3,1,0,0,0,0,0,0
2015,Mayank Agarwal,10,1,213,68,23.66,177,120.33,2,23,7,3,0,0,0,0,0
2014,Mayank Agarwal,8,0,115,31,14.37,91,126.37,0,12,3,1,0,0,0,0,0
2013,Mayank Agarwal,5,0,67,29,13.4,62,108.06,0,6,3,3,0,0,0,0,0
2012,Mayank Agarwal,16,1,225,64*,20.45,158,142.4,1,19,15,9,0,0,0,0,0
2011,Mayank Agarwal,8,0,141,41,20.14,120,117.5,0,16,4,3,0,0,0,0,0
2023,Anmolpreet Singh,4,0,105,36,26.25,82,128.05,0,15,2,1,0,0,0,0,0
2022,Anmolpreet Singh,2,0,13,8,6.5,13,100,0,1,0,0,0,0,0,0,0
2021,Anmolpreet Singh,1,0,16,16,16,14,114.28,0,2,1,0,0,0,0,0,0
2024,Heinrich Klaasen,1,0,63,63,63,29,217.24,1,0,8,0,0,0,0,0,0
2023,Heinrich Klaasen,12,2,448,104,49.78,253,177.08,2,32,25,3,0,0,0,0,0
2019,Heinrich Klaasen,3,0,9,6,4.5,10,90,0,0,0,0,0,0,0,0,0
2018,Heinrich Klaasen,4,1,57,32,19,47,121.27,0,5,1,3,0,0,0,0,0
No stats,Upendra Singh Yadav,0,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
2023,Nitish Kumar Reddy,2,0,0,0,0,0,0,0,0,0,1,30,54,0,0,0
2017,Travis Head,7,2,151,75*,30.2,108,139.81,1,9,6,2,48,81,2,40.5,0
2016,Travis Head,3,1,54,37,27,40,135,0,3,2,0,0,0,0,0,0
2024,Abhishek Sharma,1,0,32,32,32,19,168.42,0,4,2,0,0,0,0,0,0
2023,Abhishek Sharma,11,0,226,67,20.55,157,143.95,2,28,6,4,72,124,2,62,0
2022,Abhishek Sharma,14,0,426,75,30.43,320,133.13,2,47,13,1,24,38,0,0,0
2021,Abhishek Sharma,8,1,98,33,16.33,75,130.66,0,7,4,2,60,64,4,16,0
2020,Abhishek Sharma,8,2,71,31,14.2,56,126.78,0,6,3,1,60,91,2,45.5,0
2019,Abhishek Sharma,3,1,9,5*,4.5,9,100,0,1,0,2,12,21,1,21,0
2018,Abhishek Sharma,3,2,63,46*,63,33,190.9,0,3,5,1,0,0,0,0,0
2024,Marco Jansen,1,1,1,1*,0,1,100,0,0,0,2,18,40,0,0,0
2023,Marco Jansen,8,3,39,17*,13,43,90.7,0,4,0,3,162,267,10,26.7,0
2022,Marco Jansen,8,2,9,8*,9,7,128.57,0,0,1,3,192,274,7,39.14,0
2021,Marco Jansen,2,0,0,0*,0,3,0,0,0,0,1,36,45,2,22.5,0
2023,Washington Sundar,7,1,60,24*,15,60,100,0,6,0,2,106,146,3,48.67,0
2022,Washington Sundar,9,0,101,40,14.43,69,146.38,0,9,3,1,168,239,6,39.83,0
2021,Washington Sundar,6,0,31,10,7.75,47,65.95,0,2,0,2,96,118,3,39.33,0
2020,Washington Sundar,15,3,111,30,18.5,95,116.84,0,10,2,0,300,298,8,37.25,0
2019,Washington Sundar,3,0,1,1,0.5,3,33.33,0,0,0,2,54,74,4,18.5,0
2018,Washington Sundar,7,3,65,35,21.66,38,171.05,0,5,4,0,120,192,4,48,0
2017,Washington Sundar,11,5,9,5*,9,12,75,0,0,0,5,180,185,8,23.12,0
2023,Sanvir Singh,2,1,11,7,11,9,122.22,0,1,1,0,0,0,0,0,0
2023,Wanindu Hasaranga,8,3,33,12*,16.5,28,117.86,0,3,0,0,174,258,9,28.67,0
2022,Wanindu Hasaranga,16,0,38,18,5.43,43,88.37,0,4,1,3,342,430,26,16.54,1
2021,Wanindu Hasaranga,2,1,1,1*,1,2,50,0,0,0,0,36,60,0,0,0
2024,Pat Cummins,1,1,0,0*,0,1,0,0,0,0,1,24,32,1,32,0
2022,Pat Cummins,5,1,63,56*,15.75,24,262.5,1,5,6,1,119,212,7,30.29,0
2021,Pat Cummins,7,2,93,66*,31,56,166.07,1,5,8,2,161,237,9,26.33,0
2020,Pat Cummins,14,4,146,53*,20.85,114,128.07,1,9,8,3,312,409,12,34.08,1
2017,Pat Cummins,12,4,77,24,15.4,53,145.28,0,5,4,1,277,373,15,24.86,0
2015,Pat Cummins,3,0,0,0*,0,2,0,0,0,0,1,60,97,1,97,0
2014,Pat Cummins,1,0,0,0,0,0,0,0,0,0,0,24,29,1,29,0
2023,Akash Singh,6,0,0,0,0,0,0,0,0,0,1,114,188,5,37.6,0
2021,Akash Singh,1,0,0,0,0,0,0,0,0,0,0,24,39,0,0,0
2024,Shahbaz Ahamad,1,0,16,16,16,5,320,0,1,2,0,6,14,0,0,0
2023,Shahbaz Ahamad,10,2,42,20*,10.5,39,107.69,0,3,1,5,42,95,1,95,0
2022,Shahbaz Ahamad,16,3,219,45,27.38,181,120.99,0,14,9,8,210,336,4,84,0
2021,Shahbaz Ahamad,11,0,59,14,8.42,53,111.32,0,4,2,4,84,92,7,13.14,0
2020,Shahbaz Ahamad,2,1,1,1*,0,1,100,0,0,0,1,36,44,2,22,0
2024,Bhuvneshwar Kumar,1,0,0,0,0,0,0,0,0,0,0,24,51,0,0,0
2023,Bhuvneshwar Kumar,14,3,42,27,14,47,89.36,0,4,0,3,306,425,16,26.56,0
2022,Bhuvneshwar Kumar,14,3,24,8,8,26,92.31,0,3,0,2,313,383,12,31.92,0
2021,Bhuvneshwar Kumar,11,6,34,14*,34,30,113.33,0,3,0,0,252,335,6,55.83,0
2020,Bhuvneshwar Kumar,4,0,0,0*,0,2,0,0,0,0,0,85,99,3,33,0
2019,Bhuvneshwar Kumar,15,2,12,7*,4,19,63.15,0,1,0,4,354,461,13,35.46,0
2018,Bhuvneshwar Kumar,12,2,13,7,6.5,16,81.25,0,1,0,2,277,354,9,39.33,0
2017,Bhuvneshwar Kumar,14,1,4,4*,4,4,100,0,0,0,4,314,369,26,14.19,0
2016,Bhuvneshwar Kumar,17,2,43,21,7.16,27,159.25,0,6,1,6,396,490,23,21.3,1
2015,Bhuvneshwar Kumar,14,2,17,11*,17,10,170,0,2,1,5,310,407,18,22.61,0
2014,Bhuvneshwar Kumar,14,1,1,1,1,4,25,0,0,0,2,319,354,20,17.7,1
2013,Bhuvneshwar Kumar,16,2,52,24*,7.42,71,73.23,0,3,1,2,342,371,13,28.53,0
2012,Bhuvneshwar Kumar,11,6,40,11*,13.33,40,100,0,4,0,0,234,281,8,35.12,0
2011,Bhuvneshwar Kumar,4,0,1,1,0,1,0,0,0,0,2,66,67,3,22.33,0
2023,Fazalhaq Farooqi,4,1,1,1*,0,5,20,0,0,0,1,80,117,4,29.25,0
2022,Fazalhaq Farooqi,3,1,2,2*,0,8,25,0,0,0,0,72,110,2,55,0
2023,Jaydev Unadkat,3,0,9,9,9,7,128.57,0,1,0,0,48,92,0,0,0
2022,Jaydev Unadkat,5,2,59,19*,19.67,37,159.46,0,4,3,1,120,190,6,31.67,0
2021,Jaydev Unadkat,6,1,41,24,20.5,29,141.37,0,3,2,1,132,168,4,42,0
2020,Jaydev Unadkat,7,0,9,9,9,13,69.23,0,0,0,1,138,228,4,57,0
2019,Jaydev Unadkat,11,3,1,1,1,3,33.33,0,0,0,4,224,398,10,39.8,0
2018,Jaydev Unadkat,15,3,49,26,12.25,38,128.94,0,6,1,6,302,486,11,44.18,0
2017,Jaydev Unadkat,12,2,2,2*,0,5,40,0,0,0,9,275,322,24,13.41,0
2016,Jaydev Unadkat,1,0,0,0,0,0,0,0,0,0,0,18,49,0,0,0
2015,Jaydev Unadkat,1,0,0,0,0,0,0,0,0,0,0,18,30,0,0,0
2014,Jaydev Unadkat,9,1,1,1*,1,6,16.66,0,0,0,0,187,270,9,30,0
2013,Jaydev Unadkat,13,2,2,1,0,2,100,0,0,0,1,294,370,13,28.46,0
2012,Jaydev Unadkat,1,0,0,0,0,0,0,0,0,0,0,18,32,0,0,0
2011,Jaydev Unadkat,7,0,0,0,0,0,0,0,0,0,2,108,150,6,25,0
2010,Jaydev Unadkat,3,0,0,0,0,0,0,0,0,0,1,62,85,4,21.25,0
2024,T Natarajan,1,0,0,0,0,0,0,0,0,0,0,24,32,3,10.67,0
2023,T Natarajan,12,0,0,0,0,0,0,0,0,0,3,270,410,10,41,0
2022,T Natarajan,11,0,0,0,0,0,0,0,0,0,1,258,406,18,22.56,0
2021,T Natarajan,2,0,0,0,0,0,0,0,0,0,0,48,69,2,34.5,0
2020,T Natarajan,16,3,3,3*,0,5,60,0,0,0,3,377,504,16,31.5,0
2017,T Natarajan,6,0,0,0,0,0,0,0,0,0,0,76,115,2,57.5,0
2023,Umran Malik,8,1,19,19*,19,8,237.5,0,1,2,1,120,217,5,43.4,0
2022,Umran Malik,14,3,4,3*,4,8,50,0,0,0,5,295,444,22,20.18,1
2021,Umran Malik,3,0,0,0,0,0,0,0,0,0,0,72,96,2,48,0
2024,Mayank Markande,1,0,0,0,0,0,0,0,0,0,1,24,39,2,19.5,0
2023,Mayank Markande,10,3,21,18*,0,13,161.54,0,2,1,1,228,300,12,25,1
2022,Mayank Markande,2,0,0,0,0,0,0,0,0,0,2,42,57,1,57,0
2021,Mayank Markande,1,0,0,0,0,0,0,0,0,0,0,18,26,0,0,0
2019,Mayank Markande,3,1,6,6,6,5,120,0,1,0,0,36,59,1,59,0
2018,Mayank Markande,14,4,21,7*,10.5,24,87.5,0,2,0,3,264,368,15,24.53,1
No stats,Jhathavedh Subramanyan,0,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats,No stats
